! index Allan_deviation   Rms_ratio   goodness 
2000 1.0335888939787 1.0726303775826 1.1086588456136 
2008 0.98476890709723 1.0191709041575 1.0036478174325 
2016 0.95575777728468 0.99091521178827 0.94707492029634 
2024 1.1366489068544 1.1699401654621 1.3298112101576 
2032 1.098198893634 1.1370100065793 1.2486631312762 
2040 0.99823872294069 1.0377679454296 1.0359401485544 
2048 1.0227225400036 1.0634938111045 1.0876590917709 
2056 1.1248983017684 1.164662047416 1.3101263592725 
2064 1.1008918057612 1.1370609062344 1.2517810343249 
2072 1.0456150032208 1.0875585364335 1.1371675225757 
2128 1.2225968247881 1.2729285340226 1.5562783838781 
2136 1.0041280022715 1.043238501752 1.047544992657 
2144 1.076151820915 1.1149333516934 1.1998375566238 
2152 1.04964818197 1.0893946674538 1.1434811321407 
2160 1.0562552403276 1.0970931866365 1.1588104275125 
2168 0.98776066921559 1.0223385532729 1.0098258135457 
2176 1.0361537840116 1.0745224709766 1.1133705243079 
2184 1.0612016024631 1.100758502339 1.168126686607 
2192 0.96467452450442 0.99942348946437 0.96411837947759 
2200 1.0503431029309 1.086274273517 1.1409606910799 
2256 1.0508992841013 1.0872102622356 1.1425484862509 
2264 1.0805216801109 1.123484785306 1.2139496677978 
2272 1.0740324939104 1.1105605131627 1.1927780775905 
2280 1.0633684070078 1.1066115324029 1.1767357423878 
2288 1.0668702825471 1.1088883468694 1.1830400239378 
2296 1.1396632243858 1.1843166269841 1.3497221058024 
2304 1.0878486036262 1.1268609721222 1.2258541350041 
2312 1.0853874639946 1.1209285093304 1.2166417520614 
2320 1.1129494120988 1.1589166148657 1.2898155651864 
2328 1.0616106318771 1.1032588948114 1.1712313724447 
2384 1.2747855832195 1.3217118339049 1.6848991910326 
2392 1.1572502787229 1.1964435267769 1.3845846048387 
2400 1.0138115482997 1.0465188242256 1.0609728695129 
2408 1.2068176612507 1.2548126623215 1.5143300824506 
2416 1.147045546144 1.1912826327562 1.3664554381017 
2424 1.0664915629902 1.1015862714209 1.1748324643762 
2552 1.1399281092335 1.1814210671039 1.3467350832324 
2560 1.0004569255993 1.0372028916968 1.0376768162496 
2568 1.1914183941791 1.233212781495 1.4692723918099 
2576 1.1852037970816 1.2330271992609 1.4613885184689 
2584 1.1294311402598 1.1696496674157 1.3210387575737 
2592 1.0897843496797 1.134857506686 1.2367499499029 
2600 1.057387260076 1.0989109347389 1.1619744223512 
2608 1.1928734816617 1.2323041530466 1.4699829455109 
2616 0.94596319161184 0.9771463494808 0.92434447942672 
2624 1.0853871026944 1.1270355439026 1.2232698436301 
2680 1.2010237614117 1.250835100439 1.502282677235 
2688 1.0523096598705 1.0928231340091 1.1499883404477 
2696 1.0585158983859 1.0969400104416 1.161128440628 
2704 1.1062492623217 1.1482606703903 1.2702625195723 
2712 1.0818853248616 1.124591961789 1.2166795399168 
2720 1.0934351020913 1.1322304924555 1.238020564109 
2728 1.1028349238326 1.1475248107661 1.2655304372773 
2736 1.0259561454109 1.0601869972555 1.087705365119 
2744 1.0698754066144 1.1040379497451 1.1811830504013 
2752 1.1226652082663 1.160093407873 1.3023965073582 
2808 1.1318987985988 1.1773166477745 1.3326032991863 
2816 1.093840071215 1.1283866385454 1.2342745210645 
2824 1.1124171697387 1.1563597739002 1.2863544668817 
2832 1.1202497413126 1.154900865411 1.2937773957184 
2840 0.95316036713697 0.985236737864 0.93908861077928 
2848 1.1770627792558 1.2186779875659 1.4344604990622 
2856 1.0485771706944 1.0858822125983 1.1386312981938 
2864 1.243018743236 1.2827315641537 1.5944593767834 
2872 1.195320785499 1.2461413588529 1.4895386679067 
2880 1.0776701349801 1.1108813336378 1.1971636367683 
2936 1.1145073757775 1.1598214484973 1.2926295589352 
2944 1.0815936690831 1.1251308436417 1.216934397373 
2952 1.0209345930811 1.0604998279729 1.0827009603341 
2960 1.1076145886651 1.1549466819262 1.2792357940318 
2968 1.101356064011 1.1455693730924 1.2616797758006 
2976 1.0754258828999 1.1156384157891 1.1997864282971 
2984 1.1101797961113 1.1489150776924 1.2755023067017 
2992 1.1671672834861 1.208836892399 1.4109148718791 
3000 0.95878113410206 0.9895850881452 0.94879551310234 
3008 1.0296720438815 1.0668575991061 1.0985134446021 
3064 1.111441239484 1.1485122437728 1.2765038717814 
3072 1.0824166839254 1.1163759693356 1.2083839747423 
3080 0.94986539680782 0.98724436943183 0.93774926471665 
3088 1.055405665774 1.0935208123406 1.154108060986 
3096 1.0367085514401 1.0734150897813 1.1128186028211 
3104 1.0135365682468 1.0527033061694 1.066953296317 
3112 1.0501417612078 1.0880601313999 1.1426173826883 
3120 1.1181928323505 1.1579590445469 1.2948215037679 
3128 1.1564787547493 1.1932149129526 1.3799276966797 
3136 1.0634001168666 1.1008339684141 1.1706269706623 
3192 1.1157724784736 1.158357236265 1.2924631244653 
3200 1.1004342626549 1.1480687502147 1.2633741886196 
3208 1.1503960305919 1.1903205932967 1.3693400856604 
3216 1.06063090616 1.1011111692621 1.1678725372374 
3224 1.1688703466591 1.2108816874652 1.4153636977906 
3232 0.99562832729146 1.0383731049496 1.0338336775854 
3240 1.0641255808928 1.1048621150423 1.1757120399758 
3248 1.0428806262164 1.083857561343 1.1303340523029 
3256 1.0658950486282 1.1062434797793 1.179139447674 
3264 1.0447530270611 1.0835450029653 1.1320369218049 
